,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
1,5,4,4,2,2,2,2,2
2,2,2,3,2,2,2,2,2
3,2,2,2,2,2,2,2,1
4,1,2,1,2,1,2,1,1
5,2,2,2,2,3,3,3,3
6,4,3,4,4,2,2,3,3
7,4,3,3,3,3,3,3,2
8,2,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2
11,2,3,2,2,3,4,3,4
12,2,3,3,2,3,2,3,3
13,3,2,3,2,2,3,2,2
14,2,2,3,2,2,2,2,1
15,2,1,2,1,1,1,0,0
16,1,2,2,1,1,1,1,1
17,1,2,2,2,1,1,1,1
18,1,0,1,1,1,1,1,4
19,3,2,3,3,2,2,2,2
20,2,4,6,5,5,5,3,2
21,3,4,3,3,3,3,4,4
22,3,3,3,3,3,3,3,2
23,3,3,4,3,3,3,2,2
24,2,2,2,2,3,3,2,2
25,2,1,1,1,2,1,1,1
26,1,1,1,1,1,1,1,1
27,1,1,2,2,2,1,1,2
28,1,2,3,2,1,2,1,1
29,1,1,1,1,1,1,1,0
30,0,0,1,1,0,1,1,2
31,2,2,2,2,2,3,4,3
32,2,3,3,1,2,1,1,0
33,2,1,1,0,2,3,2,3
34,3,2,1,1,2,2,2,2
35,1,2,2,3,2,2,2,2
36,2,3,3,2,2,2,2,2
37,2,2,2,1,1,2,2,2
38,1,1,1,2,2,3,2,3
39,4,3,3,2,2,1,2,1
40,2,2,3,3,2,2,2,2
41,2,2,1,1,0,1,2,2
42,2,2,2,2,2,2,2,3
43,2,2,3,2,2,2,2,2
44,2,3,2,2,2,1,1,1
45,2,2,2,2,2,2,2,2
46,2,2,2,2,2,2,3,4
47,3,3,4,4,4,4,4,4
48,4,4,3,4,4,3,4,4
49,4,4,4,3,3,3,3,3
50,3,3,3,3,3,3,3,2
51,2,3,2,2,2,2,2,1
52,2,1,1,1,1,1,2,2
53,1,1,2,2,2,1,1,2
54,1,1,1,1,2,2,3,3
55,2,2,2,2,2,2,2,2
56,1,2,2,1,1,2,2,3
57,2,2,1,2,2,2,2,2
58,2,2,2,2,2,2,2,1
59,2,2,2,2,2,1,2,1
60,1,1,1,1,1,1,2,2
61,1,2,2,2,2,2,2,2
62,2,2,2,2,3,2,2,2
63,2,2,2,2,2,1,1,2
64,2,1,1,1,1,1,1,1
65,1,1,2,2,1,1,1,1
66,1,2,2,2,3,5,6,4
67,4,4,3,3,3,3,3,4
68,3,2,2,3,3,1,2,1
69,2,1,2,2,2,1,2,2
70,2,2,2,2,2,2,2,2
71,2,2,2,3,3,3,4,3
72,2,3,2,2,2,2,2,1
73,1,2,2,2,1,1,1,1
74,1,2,2,2,2,2,4,4
75,4,4,3,3,3,4,4,4
76,3,3,3,3,3,3,4,4
77,4,3,3,3,2,3,2,2
78,2,3,3,3,2,2,2,2
79,2,3,4,2,2,3,2,2
80,2,2,1,2,2,3,2,2
81,1,2,2,1,1,2,1,1
82,2,2,2,2,2,1,1,1
83,2,3,2,2,2,2,2,2
84,1,1,1,2,2,2,2,3
85,2,2,1,1,2,1,1,1
86,1,1,1,1,1,1,1,2
87,3,2,3,2,2,3,2,2
88,3,2,2,2,2,2,2,3
89,3,2,2,3,2,2,2,2
90,2,2,2,3,2,2,2,2
91,2,1,1,1,1,1,1,0
92,0,1,1,1,1,1,1,2
93,1,0,0,1,3,4,4,3
94,3,3,2,2,2,3,2,2
95,2,2,2,2,2,1,2,2
96,2,2,2,2,2,2,2,2
97,2,2,2,2,2,2,2,2
98,2,1,1,2,2,3,5,4
99,2,2,2,1,1,1,1,1
100,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,2,1
102,1,1,2,2,2,2,2,3
103,2,2,2,3,3,3,4,4
104,4,4,4,4,4,3,3,3
105,2,2,3,4,4,3,3,2
106,2,1,1,1,2,2,2,2
107,1,2,3,2,3,3,4,2
108,2,3,3,2,2,2,2,2
109,2,2,2,1,1,1,1,1
110,1,1,1,1,1,1,1,1
111,2,2,3,2,1,1,2,2
112,2,1,2,2,2,2,2,2
113,2,2,2,2,4,3,3,2
114,2,1,2,2,2,2,3,2
115,2,2,2,2,4,2,2,2
116,2,2,2,2,2,2,2,1
117,2,2,2,1,2,1,2,2
118,2,2,2,2,2,2,2,1
119,2,1,2,1,1,1,1,1
120,1,1,1,1,1,1,1,1
121,1,1,2,2,2,2,2,2
122,2,2,2,3,3,4,3,4
123,3,3,3,2,3,4,4,4
124,3,3,2,2,2,2,2,1
125,1,1,1,1,1,1,0,1
126,2,2,2,2,2,2,1,2
127,2,2,2,3,3,4,2,3
128,2,2,2,2,2,2,2,2
129,5,6,4,4,4,4,4,4
130,4,3,4,4,3,4,4,3
131,4,3,3,3,3,2,3,2
132,2,1,1,1,1,1,1,1
133,1,1,1,2,1,1,1,2
134,1,2,2,2,2,2,2,2
135,2,2,2,2,2,2,3,4
136,3,3,3,3,4,4,3,3
137,4,2,3,3,3,3,2,2
138,2,3,3,3,2,3,3,2
139,2,3,2,2,2,2,2,2
140,1,2,3,3,2,1,2,2
141,2,2,2,2,2,1,2,2
142,3,4,4,3,3,3,2,2
143,3,3,3,4,3,2,2,2
144,2,2,2,1,1,1,1,1
145,2,2,2,2,1,1,1,1
146,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1
148,2,2,2,3,2,2,3,3
149,4,3,3,3,2,3,3,3
150,2,1,2,2,2,2,3,3
151,3,3,2,2,2,2,2,2
152,2,2,3,2,3,2,3,3
153,2,1,2,1,1,1,1,1
154,1,1,1,1,0,1,0,1
155,1,0,0,0,0,1,1,1
156,1,1,0,0,0,1,0,1
157,2,1,3,3,4,4,4,4
158,4,4,3,3,3,3,2,2
159,3,3,2,2,2,2,3,3
160,2,1,2,2,2,1,1,1
161,1,0,0,1,1,1,0,0
162,1,1,1,2,2,2,3,3
163,3,2,3,2,3,3,3,3
164,2,3,3,2,3,3,3,3
165,4,3,3,2,2,2,2,2
166,2,1,2,2,2,4,5,4
167,4,3,3,3,3,3,3,2
168,2,2,2,3,2,2,2,2
169,2,3,3,3,3,3,2,2
170,3,3,3,3,3,2,2,2
171,2,2,2,2,2,2,1,1
172,1,1,1,1,1,1,1,1
173,1,1,1,1,0,1,0,0
174,0,1,1,2,2,2,2,2
175,3,2,2,2,2,3,2,4
176,4,3,3,2,2,3,2,2
177,2,2,2,1,2,2,2,2
178,2,2,2,3,2,3,3,3
179,2,2,2,2,1,1,2,2
180,2,2,1,2,1,2,1,2
