,kp_0h,kp_3h,kp_6h,kp_9h,kp_12h,kp_15h,kp_18h,kp_21h
1,4,4,4,1,3,2,2,2
2,3,2,2,2,1,2,1,2
3,2,2,2,1,1,1,2,1
4,1,1,1,1,1,2,1,1
5,1,2,2,1,2,3,3,3
6,2,2,4,4,1,2,2,2
7,3,2,2,3,2,2,2,1
8,1,1,1,2,2,1,1,2
9,1,1,2,2,2,1,1,2
10,2,2,2,2,2,1,2,2
11,1,3,3,2,3,3,3,3
12,2,2,2,2,3,2,2,2
13,3,2,2,2,2,2,2,2
14,2,2,2,1,3,2,2,1
15,2,1,2,2,1,1,1,1
16,1,2,1,1,1,1,2,2
17,2,2,2,2,2,2,1,0
18,0,1,0,2,2,1,1,4
19,4,3,3,3,2,2,2,3
20,3,4,4,4,4,4,4,4
21,4,4,3,3,2,3,3,3
22,2,3,2,2,2,3,2,2
23,2,2,3,1,1,2,1,2
24,2,2,2,2,2,2,1,2
25,1,2,2,2,2,2,2,1
26,1,1,0,1,1,1,0,1
27,1,1,2,1,2,1,1,2
28,1,2,2,2,1,2,1,1
29,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,2
31,2,2,2,3,2,3,4,3
32,3,3,4,1,2,1,1,1
33,2,2,2,1,2,3,3,3
34,3,3,1,1,1,3,2,1
35,1,2,2,2,2,1,1,3
36,2,3,2,2,2,2,1,1
37,1,1,1,2,1,1,1,2
38,1,1,1,2,2,2,3,2
39,3,4,3,2,2,1,2,1
40,3,3,3,4,3,2,2,2
41,2,2,2,1,1,1,1,1
42,2,2,3,3,2,2,3,4
43,4,3,3,3,3,3,3,3
44,3,3,2,2,2,1,1,1
45,2,2,2,2,2,2,2,2
46,2,3,2,2,1,1,2,3
47,3,3,4,3,4,4,3,3
48,3,3,2,2,3,2,3,4
49,3,4,3,2,2,2,2,3
50,2,2,1,2,2,2,2,1
51,1,2,2,1,1,1,2,1
52,1,1,1,1,1,1,2,2
53,2,1,2,2,2,1,1,2
54,1,1,1,1,2,2,2,3
55,2,3,2,2,2,2,2,2
56,2,2,2,2,2,2,2,3
57,2,2,1,1,1,1,1,1
58,1,1,1,2,2,1,1,1
59,1,1,2,2,1,1,2,1
60,1,1,1,1,1,1,2,2
61,1,2,2,2,3,2,2,3
62,1,2,1,1,3,2,1,2
63,1,2,2,1,1,1,1,1
64,1,1,1,1,1,1,1,1
65,1,1,2,2,1,1,1,1
66,1,2,3,3,4,4,4,4
67,4,2,2,2,2,2,2,2
68,2,1,2,1,2,1,2,1
69,1,1,1,2,2,1,2,2
70,2,2,2,2,2,2,2,2
71,2,3,3,3,3,3,2,2
72,1,3,2,1,2,2,1,0
73,1,1,0,1,1,1,1,1
74,1,1,2,2,2,1,4,3
75,3,3,3,3,2,3,3,3
76,3,3,3,2,2,2,4,3
77,4,2,3,2,2,2,2,2
78,2,2,2,3,2,2,2,2
79,2,3,3,2,2,2,2,1
80,2,2,1,2,3,3,2,2
81,2,2,2,1,1,1,1,1
82,2,2,1,2,1,1,1,1
83,1,3,2,1,1,1,2,1
84,1,1,1,2,2,2,2,2
85,2,1,1,1,1,1,1,1
86,1,1,0,1,1,1,1,1
87,3,1,2,3,2,3,2,1
88,3,2,1,2,2,2,2,2
89,2,2,1,2,1,1,2,1
90,1,1,1,2,2,1,2,2
91,2,1,1,1,1,1,1,0
92,0,0,1,1,1,1,1,1
93,1,1,0,1,3,4,4,2
94,2,3,2,2,2,2,3,2
95,2,2,2,2,2,2,2,2
96,2,2,2,2,2,2,2,2
97,2,2,3,2,2,2,2,2
98,2,1,2,2,2,3,4,3
99,3,1,2,1,1,1,1,1
100,0,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1
102,1,1,2,2,2,2,2,3
103,3,2,2,3,3,4,4,4
104,3,3,3,3,3,2,2,2
105,2,1,2,4,4,3,3,2
106,2,2,2,2,1,2,3,3
107,1,2,2,2,3,3,4,2
108,1,3,3,2,2,2,3,3
109,3,2,1,1,1,1,1,1
110,1,1,1,1,1,0,1,1
111,2,2,2,2,1,1,2,2
112,2,1,2,2,1,2,1,2
113,2,1,1,2,3,2,2,1
114,1,1,1,2,2,2,3,2
115,2,2,1,2,2,2,2,2
116,2,2,2,1,1,1,1,1
117,1,1,1,1,2,1,2,1
118,2,2,2,1,2,2,1,1
119,1,1,1,1,1,0,1,1
120,1,1,1,1,1,1,1,1
121,1,0,2,2,2,3,3,3
122,2,2,3,3,3,4,3,3
123,3,3,3,2,3,3,3,2
124,2,2,2,1,1,1,2,1
125,1,1,1,1,1,1,1,1
126,1,2,3,2,2,2,2,3
127,3,3,3,3,3,4,2,2
128,1,2,1,2,2,1,2,2
129,4,4,4,4,4,4,3,4
130,2,2,3,2,2,2,2,2
131,2,3,2,2,4,1,2,2
132,1,1,1,1,1,1,1,1
133,1,1,1,2,2,2,2,2
134,2,2,3,2,2,2,2,3
135,3,2,2,3,2,2,4,4
136,3,3,2,2,3,2,2,2
137,3,2,2,2,3,2,2,1
138,2,2,3,2,2,2,2,2
139,2,3,2,2,2,1,1,1
140,1,1,3,2,1,1,1,2
141,2,2,1,1,2,2,2,2
142,3,3,3,2,3,2,1,2
143,2,2,2,2,1,1,1,1
144,2,1,2,1,1,0,1,1
145,1,1,2,2,1,1,1,1
146,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1
148,2,2,2,3,3,3,3,3
149,3,3,2,2,1,2,2,2
150,2,2,2,2,2,2,2,2
151,3,2,2,2,1,2,1,1
152,1,2,2,2,2,1,2,2
153,1,1,2,1,1,1,1,1
154,0,1,1,1,1,1,1,1
155,1,1,1,1,0,1,1,1
156,1,1,0,1,0,2,1,1
157,2,1,3,3,4,3,3,3
158,3,3,2,3,2,3,2,1
159,2,2,2,2,2,2,2,2
160,2,2,2,2,1,1,1,1
161,1,1,1,1,1,1,1,1
162,1,1,1,2,2,2,3,4
163,2,2,2,3,2,3,2,2
164,1,3,3,2,3,3,3,3
165,2,2,2,2,2,1,2,1
166,2,1,2,2,2,3,3,3
167,3,3,2,3,2,2,1,1
168,1,1,2,2,1,1,1,1
169,2,2,3,2,2,3,1,1
170,2,1,2,2,1,1,2,1
171,1,1,1,2,2,1,1,1
172,1,1,1,1,1,0,1,1
173,0,0,1,1,1,1,0,1
174,1,1,1,2,2,3,3,3
175,3,2,2,2,2,3,2,3
176,3,2,2,1,2,2,2,1
177,2,2,1,2,2,1,2,2
178,2,2,2,2,2,2,2,3
179,2,2,2,2,1,1,2,1
180,2,1,1,2,1,1,0,2
181,1,1,1,0,1,0,2,1
182,1,0,1,1,2,3,2,3
183,2,2,2,1,1,1,1,1
184,1,1,1,2,1,1,2,3
185,3,2,2,2,2,2,2,2
186,2,2,1,1,2,1,2,2
187,2,1,1,1,0,1,1,1
188,1,1,1,1,2,1,2,2
189,2,3,3,4,3,3,4,3
190,3,2,3,3,4,4,3,2
191,3,3,3,2,3,2,2,1
192,2,1,1,2,1,3,1,2
193,2,2,1,2,1,1,2,2
